Date,Product,Sales,Profit,Region
2024-01-01,Product A,1000,200,North
2024-01-02,Product B,1500,300,South
2024-01-03,Product A,1200,240,North
2024-01-04,Product C,2000,400,East
2024-01-05,Product B,1800,360,West
2024-01-06,Product A,1100,220,North
2024-01-07,Product C,2100,420,East
2024-01-08,Product B,1600,320,South
2024-01-09,Product A,1300,260,West
2024-01-10,Product C,2200,440,East
2024-01-11,Product B,1700,340,North
2024-01-12,Product A,1400,280,South
2024-01-13,Product C,2300,460,East
2024-01-14,Product B,1900,380,East
2024-01-15,Product A,1500,300,North
2024-01-16,Product C,2000,400,South
2024-01-17,Product B,1650,330,West
2024-01-18,Product A,1250,250,East
2024-01-19,Product C,2150,430,North
2024-01-20,Product B,1750,350,South
